,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,user
2,0.489,0.805,2,-4.925,1,0.0782,0.00176,0.0,0.197,0.517,132.963,audio_features,0ZZa1sB487C0zjOgBaE8tJ,spotify:track:0ZZa1sB487C0zjOgBaE8tJ,https://api.spotify.com/v1/tracks/0ZZa1sB487C0zjOgBaE8tJ,https://api.spotify.com/v1/audio-analysis/0ZZa1sB487C0zjOgBaE8tJ,178960,4,westinthebest
3,0.488,0.879,7,-3.329,0,0.0393,0.000488,1.19e-06,0.14,0.557,86.986,audio_features,3doAFpfHhPfQ4dUsYVHSHT,spotify:track:3doAFpfHhPfQ4dUsYVHSHT,https://api.spotify.com/v1/tracks/3doAFpfHhPfQ4dUsYVHSHT,https://api.spotify.com/v1/audio-analysis/3doAFpfHhPfQ4dUsYVHSHT,187853,4,westinthebest
4,0.592,0.828,1,-5.323,0,0.0408,0.00433,0.097,0.108,0.647,106.976,audio_features,6i40awjCbNLIyS7reN4BoP,spotify:track:6i40awjCbNLIyS7reN4BoP,https://api.spotify.com/v1/tracks/6i40awjCbNLIyS7reN4BoP,https://api.spotify.com/v1/audio-analysis/6i40awjCbNLIyS7reN4BoP,195320,4,westinthebest
5,0.404,0.947,6,-3.133,1,0.171,7.76e-05,0.00261,0.0873,0.386,148.004,audio_features,7zhoAuxF0cUkDeAZARoiSu,spotify:track:7zhoAuxF0cUkDeAZARoiSu,https://api.spotify.com/v1/tracks/7zhoAuxF0cUkDeAZARoiSu,https://api.spotify.com/v1/audio-analysis/7zhoAuxF0cUkDeAZARoiSu,206587,4,westinthebest
6,0.797,0.642,0,-8.082,1,0.0725,0.0799,1.19e-05,0.371,0.667,113.999,audio_features,3bIQIx7hveYPQDdhjZ1kcq,spotify:track:3bIQIx7hveYPQDdhjZ1kcq,https://api.spotify.com/v1/tracks/3bIQIx7hveYPQDdhjZ1kcq,https://api.spotify.com/v1/audio-analysis/3bIQIx7hveYPQDdhjZ1kcq,250387,4,westinthebest
7,0.365,0.804,9,-5.922,0,0.105,0.104,6.58e-05,0.15,0.577,171.597,audio_features,2XTkpF9T2PKvcLgamGJGx1,spotify:track:2XTkpF9T2PKvcLgamGJGx1,https://api.spotify.com/v1/tracks/2XTkpF9T2PKvcLgamGJGx1,https://api.spotify.com/v1/audio-analysis/2XTkpF9T2PKvcLgamGJGx1,268733,4,westinthebest
8,0.663,0.898,4,-4.751,0,0.0869,0.104,1.38e-06,0.159,0.89,193.939,audio_features,2VXazGvpayOe9qenNTL6GX,spotify:track:2VXazGvpayOe9qenNTL6GX,https://api.spotify.com/v1/tracks/2VXazGvpayOe9qenNTL6GX,https://api.spotify.com/v1/audio-analysis/2VXazGvpayOe9qenNTL6GX,194000,4,westinthebest
9,0.288,0.758,6,-5.692,0,0.0371,0.00616,0.0,0.303,0.619,97.094,audio_features,2AT8iROs4FQueDv2c8q2KE,spotify:track:2AT8iROs4FQueDv2c8q2KE,https://api.spotify.com/v1/tracks/2AT8iROs4FQueDv2c8q2KE,https://api.spotify.com/v1/audio-analysis/2AT8iROs4FQueDv2c8q2KE,201726,4,westinthebest
10,0.352,0.571,2,-3.801,0,0.0441,3e-05,0.00885,0.125,0.53,99.202,audio_features,15qyDcWWADw0sU3tASkA9N,spotify:track:15qyDcWWADw0sU3tASkA9N,https://api.spotify.com/v1/tracks/15qyDcWWADw0sU3tASkA9N,https://api.spotify.com/v1/audio-analysis/15qyDcWWADw0sU3tASkA9N,211373,3,westinthebest
11,0.372,0.9,2,-3.286,0,0.113,0.00157,0.00649,0.318,0.501,172.081,audio_features,77i4Lh9wNn6P3bglbgGxLE,spotify:track:77i4Lh9wNn6P3bglbgGxLE,https://api.spotify.com/v1/tracks/77i4Lh9wNn6P3bglbgGxLE,https://api.spotify.com/v1/audio-analysis/77i4Lh9wNn6P3bglbgGxLE,158227,4,westinthebest
